path, href
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s17.html#certifier
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7a.html#site_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s17.html#certifier
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
